[BANjO] 2022-05-15T19:28:56-04:00 | INFO | BANjO.RUN Started PORT=4321
[BANjO] 2022-05-15T19:32:04-04:00 | INFO | GET request to / 200
[BANjO] 2022-05-15T19:32:04-04:00 | INFO | GET request to /favicon.ico 404
[BANjO] 2022-05-15T19:35:15-04:00 | INFO | BANjO.RUN Started PORT=4321
[BANjO] 2022-05-15T19:35:31-04:00 | INFO | GET request to / 404
[BANjO] 2022-05-15T19:37:22-04:00 | ERROR | Error while reading request data
[BANjO] 2022-05-15T19:37:47-04:00 | INFO | BANjO.RUN Started PORT=4321
[BANjO] 2022-05-15T19:39:09-04:00 | INFO | GET request to / 404
[BANjO] 2022-05-15T19:40:17-04:00 | ERROR | Error while reading request data
[BANjO] 2022-05-15T19:47:54-04:00 | INFO | BANjO.RUN Started PORT=4321
[BANjO] 2022-05-15T19:48:04-04:00 | INFO | GET request to /foo 200
